Model,Temporal Val AUC,Temporal AUC,Random AUC,AUC Drop,Accuracy,Brier Score
LR_C0.001,0.6858,0.6827,0.6891,0.0064,0.9138,0.0926
LR_C0.0001,0.6823,0.6824,0.6882,0.0058,0.9138,0.1644
LR_C0.01,0.6823,0.6758,0.6889,0.013,0.9115,0.0828
RF_leaf20,0.6811,0.6794,0.7044,0.025,0.9158,0.0789
RF_n300_d5,0.6808,0.6794,0.6982,0.0188,0.9158,0.0788
RF_combo_v2,0.6808,0.6779,0.7045,0.0266,0.9158,0.0794
RF_combo_v1,0.6807,0.6781,0.7044,0.0264,0.9158,0.0794
RF_n200_d5,0.6807,0.6794,0.6985,0.0191,0.9158,0.0788
XGB_gamma5,0.6806,0.6789,0.7159,0.0371,0.9158,0.0787
RF_base,0.6803,0.6786,0.6982,0.0196,0.9158,0.0788
XGB_d3,0.68,0.6765,0.7119,0.0354,0.9148,0.0798
RF_n50_d5,0.6797,0.6784,0.6967,0.0183,0.9158,0.0789
RF_leaf5,0.6796,0.6769,0.7045,0.0276,0.9158,0.0795
XGB_lr0.05,0.6796,0.6775,0.7148,0.0373,0.9156,0.0792
XGB_gamma3,0.6794,0.6776,0.7178,0.0402,0.9157,0.0789
XGB_col0.6,0.6789,0.6737,0.7217,0.048,0.9144,0.0805
XGB_n50,0.6788,0.6769,0.7134,0.0365,0.9156,0.0793
XGB_L2_10,0.6788,0.6746,0.7184,0.0438,0.9152,0.0799
XGB_mcw5,0.6787,0.6728,0.7181,0.0453,0.9142,0.0804
LR_C0.1,0.6787,0.6694,0.6888,0.0193,0.9115,0.0825
XGB_L1_5,0.6785,0.6741,0.7185,0.0443,0.9154,0.08
XGB_col0.7,0.6783,0.6725,0.7192,0.0467,0.9137,0.0808
RF_n100_d8,0.6783,0.6719,0.703,0.0311,0.9158,0.08
XGB_mcw10,0.6783,0.6723,0.7181,0.0459,0.914,0.0807
RF_feat_log2,0.6783,0.6719,0.703,0.0311,0.9158,0.08
RF_feat_sqrt,0.6783,0.6719,0.703,0.0311,0.9158,0.08
RF_leaf1,0.6783,0.6719,0.703,0.0311,0.9158,0.08
XGB_col0.8,0.6781,0.6734,0.7187,0.0452,0.9142,0.0805
XGB_lr0.01,0.6781,0.6758,0.7022,0.0264,0.9158,0.0784
LR_C1,0.6779,0.6681,0.6887,0.0206,0.9115,0.0825
LR_C100,0.6778,0.668,0.6887,0.0208,0.9116,0.0825
LR_C10,0.6778,0.668,0.6887,0.0207,0.9115,0.0825
XGB_L2_5,0.6778,0.6741,0.7178,0.0437,0.9144,0.0803
XGB_mcw3,0.6772,0.6735,0.7184,0.0449,0.9135,0.0807
XGB_L1_0.1,0.6772,0.6727,0.7188,0.0461,0.9142,0.0805
XGB_L1_1,0.6772,0.6739,0.719,0.045,0.9143,0.0804
XGB_gamma1,0.6768,0.6724,0.718,0.0455,0.914,0.0805
XGB_L2_1,0.6767,0.6726,0.7175,0.0449,0.9137,0.0808
XGB_base,0.6767,0.6726,0.7175,0.0449,0.9137,0.0808
XGB_sub0.8,0.6765,0.6722,0.7193,0.0471,0.9135,0.0811
RF_n100_d3,0.6763,0.6778,0.6923,0.0145,0.9158,0.0789
XGB_sub0.7,0.6762,0.6718,0.7209,0.0491,0.9124,0.0816
RF_combo_v3,0.675,0.671,0.7074,0.0364,0.9157,0.0811
RF_feat_half,0.674,0.6667,0.7082,0.0415,0.9156,0.0815
XGB_sub0.6,0.6734,0.671,0.7195,0.0486,0.9123,0.0818
XGB_n200,0.6707,0.6666,0.7279,0.0613,0.9091,0.0831
DTree_d3,0.6686,0.6723,0.6861,0.0138,0.9158,0.0787
XGB_d6,0.6675,0.664,0.7258,0.0618,0.9105,0.0826
RF_n100_d12,0.6658,0.6595,0.7059,0.0463,0.9153,0.0833
DTree_d5,0.6657,0.6637,0.7004,0.0367,0.9075,0.0867
DTree_balanced_d5,0.6616,0.6568,0.6933,0.0365,0.5911,0.2095
XGB_lr0.3,0.6593,0.6536,0.7309,0.0773,0.902,0.0872
XGB_d8,0.6576,0.6549,0.7262,0.0713,0.9076,0.0837
XGB_n500,0.6571,0.6524,0.7364,0.0839,0.9011,0.087
DTree_entropy_d7,0.6566,0.6497,0.6974,0.0477,0.9026,0.0895
DTree_leaf5_d7,0.653,0.6445,0.7024,0.0579,0.9042,0.0867
DTree_split50_d7,0.6523,0.6456,0.7024,0.0568,0.8909,0.0974
DTree_combo_v1,0.6522,0.6444,0.7025,0.0581,0.905,0.0855
DTree_split20_d7,0.6519,0.6431,0.7024,0.0593,0.8918,0.0977
DTree_leaf20_d7,0.6518,0.6447,0.7021,0.0574,0.9131,0.0829
DTree_d7,0.651,0.6376,0.7024,0.0648,0.8911,0.0997
RF_n100_full,0.6441,0.6415,0.6901,0.0486,0.9119,0.0903
DTree_d10,0.6324,0.6158,0.6965,0.0807,0.8662,0.123
DTree_combo_v2,0.6194,0.6087,0.6888,0.0801,0.6058,0.2191
